IP Address,DNS Name,Vulnerability Name,CVE,Severity,Exploit Available,Patch Priority,Asset Exposure (on 1000),Vulnerability Finding,Summary,Description,Remediation,KB Links,Platform Details,First Discovered,Last Observed,Source Tools,Record Count
10.20.17.36,asset-016.corp.local,Nginx Security Update Available,CVE-2025-2345,Low,Yes,P2,370,Nginx Security Update Available detected on 10.20.17.36:443.,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,Nginx Security Update Available was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://nginx.org/en/security_advisories.html | https://nginx.org/en/security_advisories.html | 95056 | https://nginx.org/en/security_advisories.html | 95096 | https://nginx.org/en/security_advisories.html | 95136 | https://nginx.org/en/security_advisories.html | 95176,cpe:/a:mva:web_servers | MVA Sample Repository | Web Servers | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Network Appliance | Web Server | tcp/443 | Network Appliance | Web Server | tcp/443 | Network Appliance | Web Server | tcp/443 | Network Appliance | Web Server | tcp/443,2025-11-17,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.18.37,asset-017.corp.local,SMB Signing Not Required,,Critical,Yes,P1,980,SMB Signing Not Required detected on 10.20.18.37:445.,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | 95057 | https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | 95097 | https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | 95137 | https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | 95177,cpe:/a:mva:windows | MVA Sample Repository | Windows | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows | tcp/445 | Windows Server 2019 | Windows | tcp/445 | Windows Server 2019 | Windows | tcp/445 | Windows Server 2019 | Windows | tcp/445,2026-04-07,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.10.38,asset-018.corp.local,Oracle Java Unsupported Version,CVE-2024-20919,High,Yes,P1,810,Oracle Java Unsupported Version detected on 10.20.10.38:0.,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.tenable.com/plugins | https://www.qualys.com/research/security-alerts/ | 95058 | https://www.qualys.com/research/security-alerts/ | 95098 | https://www.qualys.com/research/security-alerts/ | 95138 | https://www.qualys.com/research/security-alerts/ | 95178,cpe:/a:mva:general | MVA Sample Repository | General | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | General | tcp/0 | Ubuntu 22.04 | General | tcp/0 | Ubuntu 22.04 | General | tcp/0 | Ubuntu 22.04 | General | tcp/0,2026-04-08,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.11.39,asset-019.corp.local,Linux Kernel Security Update Available,CVE-2024-1086,Medium,No,P3,650,Linux Kernel Security Update Available detected on 10.20.11.39:0.,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,Linux Kernel Security Update Available was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.tenable.com/plugins | https://www.qualys.com/research/security-alerts/ | 95059 | https://www.qualys.com/research/security-alerts/ | 95099 | https://www.qualys.com/research/security-alerts/ | 95139 | https://www.qualys.com/research/security-alerts/ | 95179,cpe:/a:mva:linux | MVA Sample Repository | Linux | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | Linux | tcp/0 | RHEL 8 | Linux | tcp/0 | RHEL 8 | Linux | tcp/0 | RHEL 8 | Linux | tcp/0,2026-01-24,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.12.40,asset-020.corp.local,TLS 1.0 Protocol Detection,,Low,Yes,P2,370,TLS 1.0 Protocol Detection detected on 10.20.12.40:443.,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,TLS 1.0 Protocol Detection was identified during the monthly vulnerability report.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",https://www.tenable.com/plugins | https://www.qualys.com/research/security-alerts/ | 95060 | https://www.qualys.com/research/security-alerts/ | 95100 | https://www.qualys.com/research/security-alerts/ | 95140 | https://www.qualys.com/research/security-alerts/ | 95180,cpe:/a:mva:ssl | MVA Sample Repository | SSL | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Network Appliance | SSL | tcp/443 | Network Appliance | SSL | tcp/443 | Network Appliance | SSL | tcp/443 | Network Appliance | SSL | tcp/443,2026-04-10,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.13.41,asset-021.corp.local,Apache Tomcat AJP Request Injection,CVE-2020-1938,Critical,Yes,P1,980,Apache Tomcat AJP Request Injection detected on 10.20.13.41:8009.,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://tomcat.apache.org/security-9.html | https://tomcat.apache.org/security-9.html | 95061 | https://tomcat.apache.org/security-9.html | 95101 | https://tomcat.apache.org/security-9.html | 95141,cpe:/a:mva:web_servers | MVA Sample Repository | Web Servers | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Web Application | tcp/8009 | Windows Server 2019 | Web Application | tcp/8009 | Windows Server 2019 | Web Application | tcp/8009,2026-04-11,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.14.42,asset-022.corp.local,Apache Log4j Remote Code Execution,CVE-2021-44228,High,Yes,P1,810,Apache Log4j Remote Code Execution detected on 10.20.14.42:8080.,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://logging.apache.org/log4j/2.x/security.html | https://logging.apache.org/log4j/2.x/security.html | 95062 | https://logging.apache.org/log4j/2.x/security.html | 95102 | https://logging.apache.org/log4j/2.x/security.html | 95142,cpe:/a:mva:web_servers | MVA Sample Repository | Web Servers | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Web Application | tcp/8080 | Ubuntu 22.04 | Web Application | tcp/8080 | Ubuntu 22.04 | Web Application | tcp/8080,2025-11-03,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.15.43,asset-023.corp.local,Microsoft SQL Server Unsupported Version,,Medium,Yes,P2,650,Microsoft SQL Server Unsupported Version detected on 10.20.15.43:1433.,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,Microsoft SQL Server Unsupported Version was identified during the monthly vulnerability report.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://learn.microsoft.com/sql/sql-server/end-of-support | https://learn.microsoft.com/sql/sql-server/end-of-support | 95063 | https://learn.microsoft.com/sql/sql-server/end-of-support | 95103 | https://learn.microsoft.com/sql/sql-server/end-of-support | 95143,cpe:/a:mva:databases | MVA Sample Repository | Databases | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | Database | tcp/1433 | RHEL 8 | Database | tcp/1433 | RHEL 8 | Database | tcp/1433,2026-01-23,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.16.44,asset-024.corp.local,OpenSSL Security Update Available,CVE-2023-0286,Low,No,P4,370,OpenSSL Security Update Available detected on 10.20.16.44:443.,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,OpenSSL Security Update Available was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.openssl.org/news/vulnerabilities.html | https://www.openssl.org/news/vulnerabilities.html | 95064 | https://www.openssl.org/news/vulnerabilities.html | 95104 | https://www.openssl.org/news/vulnerabilities.html | 95144,cpe:/a:mva:general | MVA Sample Repository | General | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Network Appliance | SSL | tcp/443 | Network Appliance | SSL | tcp/443 | Network Appliance | SSL | tcp/443,2026-04-14,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.17.45,asset-025.corp.local,Remote Desktop Weak Encryption Enabled,,Critical,Yes,P1,980,Remote Desktop Weak Encryption Enabled detected on 10.20.17.45:3389.,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.tenable.com/plugins | https://www.qualys.com/research/security-alerts/ | 95065 | https://www.qualys.com/research/security-alerts/ | 95105 | https://www.qualys.com/research/security-alerts/ | 95145,cpe:/a:mva:windows | MVA Sample Repository | Windows | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows | tcp/3389 | Windows Server 2019 | Windows | tcp/3389 | Windows Server 2019 | Windows | tcp/3389,2026-04-15,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
